form_id	form
1623	aktiifdienscht
1624	frischi
1625	rekruitli
1626	merkwirdigerwiis
1627	gchòüft
1628	iiserain
1629	chent
1630	laischte
1631	noch
1632	zässe
1633	si/
1634	goo
1635	früchtechueche
1636	schpiz
1637	aigentlich
1638	durenand
1639	voorigi
1640	änd
1641	werum
1642	wäg
1643	dène
1644	bricht
1645	eben
1646	öppen
1647	lärme
1648	schtärnswuet
1649	momänt
1650	unne
1651	tiitschi
1652	arbaiter
1653	plözlech
1654	iizoge
1655	schwiiz
1656	verlaa
1657	mi/
1658	ch
1659	gschriben
1660	tüütschland
1661	schriinermaischter
1662	mecht
1663	psuechen
1664	gueten
1665	alts
1666	drananne
1667	wissed
1668	t/
1669	toppoliino
1670	driitakter
1671	eerschten
1672	jessesgot
1673	münche
1674	dachau
1675	dacha
1676	zmitag
1677	ggässe
1678	vergetteret
1679	laid
1680	üch
1681	tischtuech
1682	wem
1683	passends
1684	pschtek
1685	esooen
1686	galbe
1687	löffel
1688	gendich
1689	wasmer
1690	konzentrazioonslager
1691	eerlich
1692	ie
1693	inechoo
1694	liiche
1695	verbrent
1696	hööch
1697	bluet
1698	bode
1699	inegluegt
1700	gschtunke
1701	iisem
1702	schwiizer
1703	druif
1704	aneg/
1705	ghänkt
1706	zädel
1707	nüme
1708	waas
1709	defüür
1710	degäge
1711	bäärg
1712	uife
1713	a/
1714	laiterbärg
1715	verscharet
1716	werdid
1717	uisghoben
1718	richtig
1719	bigrabe
1720	gschooret
1721	liichetaili
1722	gm/
1723	robèrt
1724	induschtrii
1725	chriegsmatriaal
1726	defir
1727	nachher
1728	woos
1729	wäägen
1730	uifegheijen
1731	furtfüeren
1732	kain
1733	militäärdienscht
1734	gmach/
1735	o/
1736	schaffen
1737	dehaimen
1738	gaarte
1739	iigmuiret
1740	annere
1741	wand
1742	dasem
1743	niemer
1744	nääm
1745	miirli
1746	drumume
1747	ggaant
1748	sobald
1749	chemed
1750	ussland
1751	dra
1752	bliiben
1753	flüchtling
1754	sie
1755	wiit
1756	tili
1757	grossvatter
1758	bediene
1759	tisch
1760	chlii
1761	üiftaa
1762	verraate
1763	hättid
1764	wärid
1765	fernse
1766	radio
1767	terffe
1768	volch
1769	woraa
1770	faindsender
1771	dörffe
1772	süsch
1773	gfaaren
1774	ussergwönlich
1775	münchen
1776	schtrekene
1777	hüüfen
1778	hüüffen
1779	hüüffe
1780	schut
1781	asche
1782	schtattail
1783	haigfaare
1784	mirs
1785	techi
1786	schtreke
1787	blòüi
1788	mǜuch
1789	gschwelt
1790	härdepfu
1791	magere
1792	chääs
1793	sellemer
1794	aaluege
1795	waansinnig
1796	schnel
1797	erholt
1798	wärchtig
1799	wäggruumt
1800	wolkge
1801	mm/
1802	hailbron
1803	tachau
1804	beed
1805	usinnig
1806	aschträngige
1807	hier
1808	hülle
1809	fülle
1810	hendne
1811	aim
1812	erlòübt
1813	inenää
1814	handwärker
1815	warum
1816	mechtet
1817	gärn
1818	bliibe
1819	waiteren
1820	äusbildung
1821	prüelet
1822	liebschte
1823	maischterschuel
1824	ni/
1825	greesser
1826	pangsioniert
1827	schwiizerischen
1828	alpeklup
1829	chriegsziit
